Sentence,g_bias
He is walking on a platform,male_bias
"Train whistle blows, flurry at the platform",neutral
Aditya stops,neutral
"He looks at  
the train",male_bias
The train begins to move,neutral
Aditya looks at the door coming towards him,male_bias
It is inviting him,male_bias
"He  
moves up and climbs into the door",male_bias
The train takes him away,male_bias
The train is leaving the station,neutral
[The ambient sound will be almost inaudible,neutral
"Only very loud and shrill sounds – like the train whistle –  
will be registered",neutral
"In the last shot of the train leaving the station, the ambient sound will come back in  
full] 
{2 mins}
Sc # 5 Night, Ext / Interiors
Bombay platform, Train
The platform, seen from the train through a door, is moving faster and faster",neutral
"There are two men  
standing at the door",male_bias
"One of them – a young man, is hanging out and bringing in pieces of luggage from  
someone still on the platform",male_bias
"Evidently, a girl is trying to catch the speeding train",neutral
"There is a coolie  
involved, but we can only hear them at this time",neutral
"Geet (OC) Pakdaate jao, pakdaate jao… Bhaisaab ke haat mein do",neutral
One suitcase is already in,neutral
It is put on the side by someone,neutral
"The young man gets off the train and  
takes another suitcase from the coolie and loads it",male_bias
"page : 6 
----------------------------------------------------------------------------------------------------Young Man (to Man 1) Main neeche se pass kar raha hoon",male_bias
"Coolie (to Geet) Tum chahadh jaayo pehle…
Geet (OC) Arey tum meri tension mat lo, samaan andar karo jaldi… Ye lo… 
The suitcase is in",neutral
Man 1 passes it to the next man who passes it to the next,male_bias
"A bag comes in  
now",neutral
"Then a plastic shopping bag comes in, stuffed with loose items",neutral
Then another plastic bag,neutral
"Then an  
earthen pot with a flower plant",neutral
"There are a few others who have collected in the door area in the second  
class sleeper to see the drama",neutral
"Meanwhile –
Coolie (OC) Hum keh rahe the doo go coolie ka samaan hai…
Geet (OC) Bag dekho bag dekho girega…
Man 1 Abhi aur bhi samaan hai?
Young  Man (OC) Aane do, aane do… 
Geet (OC) Ye lo, ye padko… Haan…
Man 1 Bahut riks hai bahut riks hai… Samne dekhiye…
Geet (OC) Haan dekh rahi hoon, aap jaldi jaldi samaan leejiye… 
Now the young man climbs back in and extends his hand",male_bias
"The girl is pulled up into the running  
train",neutral
"She clambers in, stands clutching her waist, panting and exhausted",female_bias
"The small gathering is looking  
at her",female_bias
"GeetOh… Oh teri… Oh god… Aaj to hadd hi ho gayee, line cross hi ho gayee thi aaj to… (She looks  
at all the people in front",female_bias
She lets out a laugh,female_bias
") Pata hai kya, aaj tak life mein  
ek train nahin chhooti meri… Thank you Babaji, mera record tootne se bacha  
liya (to Young Man) Aa gayee hoon main andar",male_bias
Ab to mera haath chhod do,neutral
(laughs) Itni bhi sundar nahin hoon main,neutral
"Young Man leaves her hand in a spark and looks embarrassed as Geet points towards him and  
laughs",neutral
"{1/2 min}
Sc # 6 Night, Interiors
Train Passage
Passage in the moving train",neutral
"The girl is walking up holding a bag and ticket, talking to the three  
people who are following her with her luggage",female_bias
"GeetYou know, mujhe Non AC mein chalna better lagta hai",neutral
"Magar meri family… Kehte hain tum  
ladki ho… jaise mujhe hi nahin pata ki main ladki hoon",neutral
"(to a passenger) Bhai  
saab A2 hain na?
PassengerHaan…
GeetThank you",neutral
"(to her helpers) Ab AC se ladki ka kya connection hai, ye mere palle nahin pada",female_bias
"page : 7 
----------------------------------------------------------------------------------------------------The passenger looks at the procession pass",neutral
"Sc # 7 Night, Interiors
Train Seats
Aditya is sitting on a seat",neutral
"From the distance, Geet and the other three walk up",neutral
"Geet is looking at  
the seat number as she walks",female_bias
"GeetI mean koi pehli baari to akele travel kar nahin rahi hoon main… More so is train mein…  Ye to  
samajh lo ki mera second home hai",neutral
"Geet stops, looks at Aditya",neutral
"She drops her bag, looks at her ticket, looks back at Aditya  
suspiciously",female_bias
She crosses to face Aditya,female_bias
GeetTicket dikhaana please,neutral
"Aditya is looking down, in a trance",neutral
GeetHello… Aap se baat kar rahi hoon,neutral
Arey? Ye meri seat hai,neutral
Twenty four,neutral
"Kamaal hai? O boss… 
 page : 8 
---------------------------------------------------------------------------------------------------- She waves her hand in front of his face",neutral
He looks up towards her,neutral
"She thinks he is hearing  
impaired",neutral
"She mimes, mouthing the words carefully",female_bias
Geet (miming)Ye seat… chaubis…,neutral
"Meri…
Aditya looks at her, then gets up and sits on twenty three",female_bias
He looks away,male_bias
"(snip)
Geet is opening her jacket and hanging it in between and talking to Aditya",female_bias
"GeetYe passage waali seats koi nahin lena chahta, magar main insist karti hoon ki bhaiya passage  
waali seat hi do",neutral
"Reservation waale uncle bade hairaan pareshaan ho jaate hain magar  
mera funda ye hai ki raaste ke nazdeek rehne… 
(snip)
Geet is adjusting her luggage beneath the lower berth and up on the top berth and talking",female_bias
"GeetMera safar hai na, is train ke saath khatm nahin hota",neutral
No,neutral
"Aage jaana hai mujhe – Bhatinda…  
Mera ghar hai vahan, family hai… Sab ki hoti hai, meri bhi hai… Hai na?
Bhatinde ki sikhni hoon main… 
(snip)
Geet is getting comfortable in the seat now and talking",neutral
GeetSab kehte hain Mumbai bada crowded hai,neutral
"Arey? Crowded matlab kya? Crowd hum jaise logon  
se hi to banta hai? Khud bheed ka hissa hain aur takleef bhi khud hi ko hai",neutral
"So funny… 
Aditya is sitting on his seat, looking the other way",male_bias
Geet is another posture,neutral
Geet (OC)Main to ja rahi hoon Mumbai chhod ke – hamesha ke liye,neutral
"Aayee thi pata hai kab, jab  
Mumbai Bombay tha",neutral
"Ek naam ke shaher mein aayi, doosre naam ke shaher se ja rahi  
hoon… Achcha batao mujhe ye kya logic hui ki… 
(snip)
Aditya is getting uncomfortable with her talking so much",female_bias
"Geet (OC)Hostel, hostel, hostel… St Teresa's boarding school hostel in Shimla, Missionary Hostel  
for College girls in Bombay Central, Government Girls Hostel on Marine Drive…
(snip)
Aditya is restess",neutral
Geet (OC)Mujhe kasam hai aaj ke baad kabhi hostel mein nahin rahoongi,neutral
"Nafrat ho gayee hai  
mujhe hostels se",neutral
I hate hostels,neutral
I hate them,neutral
"(snip)
Aditya is more restless",neutral
"Geet (OC)I hope barsaat ke aane se pehle ye roads ki digging band ho jaye varna pata hai kya  
hoga? Anyway mujhe to fark nahin padta kyonki main rahoongi nahin yahan magar jo  
baaki janta hai yahan par…  
Aditya can not take it anymore",neutral
He gets up abruptly and walks away,male_bias
"Geet (OC)Kya hua? Arey…?
{2 mins}
 page : 9 
----------------------------------------------------------------------------------------------------Sc # 8 Night, Int / Exteriors
Train Door, Passage
Aditya opens the door of the train and looks out",neutral
"The rails are clanging along, bushes are  
jumping out from the darkness, poles are whizzing past",neutral
He shuts his eyes for a moment,male_bias
He hears a siren,male_bias
A train is approaching,neutral
He looks at the train,male_bias
"The train charges in, crushing the rails, shaking the gravel",neutral
Aditya clenches his fists on the railing,male_bias
There is no one near him,male_bias
His face is getting hard,male_bias
"The train will  
be there in seconds",neutral
It's a matter of seconds,neutral
It is coming,neutral
It is about to reach,neutral
"Geet (OC) Ye kya kar rahe ho?
Aditya gets a start",neutral
He turns to look,male_bias
"Geet is standing there, with a towel and soap, come to wash  
her face",female_bias
He turns to looks at her,neutral
Geet (OC) Chalti train ka door kabhi nahin kholte,neutral
"Pata hai kya ho sakta hai? 
He is looking at her",neutral
The train tears past behind him,male_bias
"Geet speaks in animation about a young  
boy who was travelling in the same train as her and had fallen off the door once",female_bias
"But nothing she says can  
be heard because of the loud passing of the train",female_bias
Yet she speaks with all her might,female_bias
"(snip)
Aditya turns away to the night",neutral
He closes his eyes and relaxes himself,male_bias
"She is washing her face  
behind him",neutral
"Geet (washing face etc) Mook ho, bol nahin sakte? Ya sharmeele type ke ho? Ya sirf budtameez ho?  
Haan? 
Geet shakes her head",female_bias
Aditya is looking into the night as Geet speaks,neutral
"page : 10 
----------------------------------------------------------------------------------------------------Geet (OC) Kuch to baat hai",neutral
"Teen baari main pooch chuki hoon magar koi javaab hi  
nahin",neutral
TTE (OC) Ticket please,neutral
The TTE is standing in front of Geet,neutral
Geet's face is wet,neutral
Geet Berth pe hai,neutral
Aati hoon,neutral
The TTE walks up to Aditya,neutral
TTE Ticket dekhaiye please,neutral
No response from Aditya,neutral
The TTE taps Aditya,neutral
TTE Aur door band kar deejiye,neutral
"Ticket… 
Geet comes up and begins to mime to Aditya, mouthing what she wants to express",female_bias
Get (miming)Ye tumhaari ticket dekhna chahte hain… Inhien ticket dikhao,neutral
"Kahan hai? Ticket?  
Ticket",neutral
"Tee-ket…                                       
Aditya (to TTE) Mere paas ticket nahin hai",neutral
Geet looks at him,male_bias
"{2 mins}
Sc # 9 Night, Interiors
Train Seats
The TTE is sitting, taking out some registers from his pouch",male_bias
Aditya is sitting in front,neutral
"Geet is  
sitting on the side",neutral
"Geet(explaining to the TTE) Actually dekhiye kya hua ki iska plan jo hai na vo aakhri moment pe  
bana",neutral
Ticket banane ka time hi nahin tha,neutral
"Vaise aap ko to pata hi hai  
ki train khaali hai",neutral
"To aap ab inki ticket bana deejiye, no problem",neutral
"Hai  
na? Bhaisaab aap convince ho gaye hain ya main aur boloon",neutral
"The TTE gives her a look, then turns to Aditya",female_bias
"TTE Kahan ki ticket banaoon?
Aditya looks back at the TTE",neutral
"TTE Kahan jaana hai aapne?
Aditya Ye train kahan jaati hai?
TTE Kya?
Geet looks at Aditya, then turns to the TTE",neutral
GeetLast stop,neutral
Dilli,neutral
Dilli ki ticket banaiye,neutral
"Dekhiye, main aapko bata hi doo ki – haadsa hua hai inke  
saath",neutral
Bura waqt hai,neutral
Tab hi ye… Dilli,neutral
"(snip)
The TTE leaves",neutral
Geet is looking at Aditya in amazement,neutral
She giggles,female_bias
"page : 11 
----------------------------------------------------------------------------------------------------Geet Kya boss? Chakkar kya hai? Drugs shrugs lee hai? 
Aditya does not reply",neutral
She comes closer,female_bias
GeetDekho aisa hai ki life mein koi problem hai to mujhe bata sakte ho,neutral
I don't mind,neutral
Bata do,neutral
"Bade  
saare dost mujhe apni problems batate hain aur main unhien solve  
karti hoon, pata hai? Us type ki hoon main – agony aunt hoti hai na,  
magazines mein article aate hain? Vaisi… To batao kya baat hai",neutral
Bolo,neutral
"Batao batao, sharmao nahin",neutral
Batao kya problem hai,neutral
Bolo na,neutral
Aditya (bursts) Tum ho meri problem,neutral
"Tum… Bolti ja rahi ho, bolti ja rahi ho… Tumhien samajh mein  
nahin aa raha ki main tumse baat karne mein interested nahin hoon?  
Main nahin baat karna chahta tumse",neutral
"Mujhe nahin janna hai ki tum  
Bhatinda se aayi ho ya Banaras se… ab tak hostel mein rehti thi ya  
brothel mein",neutral
"Mujhe maaf karo, please",neutral
He turns away,male_bias
Silence,neutral
He turns back towards her,neutral
She is looking at him,neutral
Geet (calm) Brothel vaali baat theek nahin thi,neutral
He looks at her,neutral
Aditya I'm sorry,neutral
Really… I'm sorry,neutral
Mera vo matlab nahin tha,neutral
Geet (back to herself) Main jaanti hoon,neutral
Clearly dikh raha hai ki maha upset ho tum kisi baat se,neutral
"Tab  
hi mujhpar bhi upset ho gaye aur bakwaas karne lage",neutral
Magar it's okay,neutral
"Main bura nahin maan rahi hoon, haan? Actually aaj kal mujhe kisi  
baat ka bura nahin lagta",neutral
"Pata hai kyon? Kyonki meri shaadi hone  
waali hai",neutral
Bahut jaldi,neutral
"Aur suno, bhaag ke shaadi kar rahi hoon",neutral
"Vo  
sikh nahin hai na, log manenge nahin",neutral
"Magar shaadi ho jaane ke baad  
koi kya kar sakta hai? Ja ke pairon pe gir jaana hai unke, maaf to  
karna hi padega",neutral
Manali mein rehta hai vo,neutral
"Shaadi ke baad hum  
pahadon mein rahenge",neutral
Mujhe na pahad bahut pasand hain,neutral
"Really…  
(snip)
Aditya sighs secretly as Geet rambles on",neutral
Geet (OC)Ek to ye hill aur mountain ke beech fark kya hai mujhe aaj tak samajh nahin aayi,neutral
"Bade  
hills mountain hote hain magar kitne bade? Koi aisi measurement hai?  
(snip)
Geet is talking in usual enthusiasm",neutral
GeetBachpan se hi na mujhe shadi karne ka craze hai by god,neutral
Aur ab to main ruk hi nain sakti,neutral
"Bas  
wait kar rahi thi ki mera college khatam ho jaye aur uski travel agency  
shuroo ho jaye",neutral
Aditya sits helplessly,neutral
"page : 12 
----------------------------------------------------------------------------------------------------Geet (OC)Last few years mein hi hua hai ye sab – trains time par chalne lagi hain aur flights ke  
baare mein to ji jab bhi pata karo to delayed",neutral
"Kamaal hai, agar humein  
delayed hi jaana hota to flight se kyon jaate?  
The train is running in undulating landscape at night",neutral
"{2 ½ mins}
Sc # 10 Night, Int / Exteriors
Train, Small Station Platform 
Geet wakes up at night",neutral
She is on the top aisle berth,female_bias
She mumbles,female_bias
"Geet(mumbling) …jab ki na joote achche nahin milte vahan… Tab hi to main…
She rubs her face, looks around",female_bias
She lifts her head to look out of the window across,female_bias
The train is at a stop,neutral
"It is a small platform, looks like an unscheduled stop",neutral
"Inside, Geet turns her head to look at the berth below her",female_bias
Aditya is not there,neutral
"The train whistle  
blows",neutral
She looks up the aisle and down,female_bias
She is a bit worried,female_bias
"(snip)
She gets down the berth, walks down the passage",female_bias
The train has begun to move,neutral
"A man is standing at the footboard as Geet is seen coming out of the compartment near the  
basins",male_bias
"She glances down the platform, then goes towards the toilets",female_bias
She is back in a flash,female_bias
Geet(to the man at the door) Ek minute bhaisaab,male_bias
She moves to the door as the man moves in,neutral
She looks out at the platform in tension,female_bias
"She reacts  
on seeing Aditya",female_bias
"GeetArey…
We see Aditya",neutral
He is walking away in the other direction,male_bias
Geet(screaming) Oye… Train chhoot rahi hai,neutral
"Aditya does not hear, keeps sauntering away in the other direction",neutral
"page : 13 
----------------------------------------------------------------------------------------------------Geet(screaming louder) Arey suno… O hero… Hello…
The man returns to the door, looks out",male_bias
"Man(to Geet) Naam kya hai?
Geet(screaming) O bhaisaab… 
Man(to Geet) Bhaisaab naam hai? 
Geet(screaming) Arey idhar dekho…
Man(to Geet) Aapke saath hai?
Geet(to Man in irritation) Arey yaar…
Man(screaming) O bhaisaab…
The other people on the platform notice the screaming, but not Aditya",male_bias
"He now sits on a bench,  
looking the other way",male_bias
"Geet gets off the train, darts a few steps",neutral
"Man(calling her) O behenji, kya kar rahi hain?
Geet(screaming) Arey O mister, train chhoot rahi hai",neutral
"Oye…
He is sitting on the bench",male_bias
"Geet looks at the train, looks at him",male_bias
She calculates,female_bias
"Then runs  
towards Aditya with all her might, screaming after him",neutral
"GeetO kaali pant… O Bombay waale, suno… Arey… 
She reaches him, pushes him",neutral
He turns to her,neutral
"GeetPaagal ho tum? Train jaa rahi hai, chalo",neutral
"Aditya looks at her, looks at the train, looks back at her, doesn't move",female_bias
"Geet(stunned) Kya… Maro saale…
She turns and runs back towards the train",female_bias
She would reach the train,female_bias
"Her compartment has  
passed, but she can get up from some other",female_bias
The train has picked up speed,neutral
"She runs at full speed, totally  
focussed on to an open door",female_bias
So focussed on the door that she does not see something coming in her way,female_bias
"Woman (OC)Arey, arey, arey…
Geet collides and falls and screams",female_bias
"She has hit against a fat, middle-aged woman carrying a  
basket of tomatoes",female_bias
"The woman is on the floor now, tomatoes are rolling in all directions",female_bias
"WomanArey, dekho to… Dekho kya kar diya… 
Geet orients herself, tries to get up, squishes a tomato and slips",neutral
The woman catches her,female_bias
"WomanBhaag rahi hai, iska harjaana kaun bharega?
 page : 14 
----------------------------------------------------------------------------------------------------GeetArey chhodo train ja rahi hai
Geet frees herself and moves away, squishing some more tomatoes",neutral
The train is bounding away,neutral
She screams after the train at the top of her voice as she limps forward with all her might,female_bias
Geet(screaming) Roko… Train ko roko,neutral
Arey koi chain kheencho,neutral
"Roko train ko… Arey…
The train picks up speed and goes away",neutral
"She runs to a stop at the end of the platform, looking at  
the train in despair",female_bias
"She turns around, panting heavily",female_bias
She can't believe this is happening to her,female_bias
"She  
looks at the station",female_bias
"There is a signal boy, some vendors ready to sleep under blankets near their shops –  
everyone looking at her in pity",female_bias
"Except the woman who she had knocked down, who is collecting her  
tomatoes and still abusing",female_bias
"Woman(distant) Arey itni moti aurat, itna bada tokra, kisi andhe ko bhi dikh jaaye aur ye paagal… Kya  
jaane kis kis kone mein ghus gaye hain tamatar",female_bias
"(to the people helping her) Arey  
saamne se to main bhi le loongi… udhar waale do…
Geet is at a complete loss",female_bias
She turns to look at the train again,female_bias
She looks at the platform again,female_bias
"(snip)
Aditya is still sitting on the bench, looking at her as she approaches",female_bias
She charges in,female_bias
GeetYou bloody weirdo,neutral
"Kis duniya mein ho tum, haan? Meri train miss kara dee hai tumne",neutral
"Mera  
saara samaan, sab kuch chala gaya aur main in kapdon mein, slippers pehne, Barnagar  
naam ke station ke is godforsaken platform par khadi hoon aur (loud) ab main kya  
karoongi? Haan?
Aditya(equally annoyed) Kisne kaha tha tumhein train se utarne ko? Tum apne kaam se kaam nahin  
rakh sakti?
Geet(loud) O… Meri ghalti hai? Besharam… Main tumhaari help kar rahi thi",neutral
"Tumhein thank you  
bolna chahiye",neutral
"Aur tum attitude dikha rahe ho?  
AditaOkay",neutral
Thank you,neutral
Thank you ki tumne meri madad karne ki koshish ki,neutral
"Theek hai? Ab mera  
peecha chhodogi?
GeetPeecha chhodogi? Achcha… Itna aasaan nahin hai",neutral
"Tumhaari vajah se meri train miss hui hai to  
ab tum mujhe Bhatinda pahunchaoge, mere ghar tak, aur mere saare saamaan ke saath?  
Ji haan",neutral
"Main tumhein chhodne waali nahin hoon, koi doubt mat rakhna dil mein",neutral
Sikhni hoon main Bhatinda ki,neutral
"Aditya is looking at her, figuring out the situation",female_bias
Geet is looking back at Aditya boldly,neutral
"He  
looks towards the exit of the station, looks back at her",neutral
He suddenly turns and runs,male_bias
"Geet(screaming) Arey… Bhaag raha hai… 
She runs after him",neutral
"He runs up the foot-bridge and goes towards the exit looking at the train  
chugging away in the distance",male_bias
She is following him with all her might,neutral
Geet(screaming) Arey padko… Pakdo us aadmi ko,neutral
"Chor hai, chor… Bhaag raha hai chor, pakdo… 
A guard steps up to Aditya as he is leaving the station gate",male_bias
"GuardRuk…
 page : 15 
----------------------------------------------------------------------------------------------------AdityaHat…
Aditya pushes the guard on the side",neutral
The guard looks in distress towards him,male_bias
"Then he looks at  
Geet running in",male_bias
Geet looks at the guard as she comes up,female_bias
GeetNalayak,neutral
Vardi utaar ke phenk do,neutral
Geet rushes past the guard as he looks at her,neutral
"{4 mins}
[14 ½ mins]
Sc # 11 Night, Int / Exteriors
Small Station Façade, Street
Geet enters the small porch of the railway station, looking for Aditya this way and that way",neutral
"She  
looks at the road in front, panting",female_bias
She sees Aditya talking to the driver of a taxi,female_bias
"She makes to call him,  
but he calls her first",neutral
Aditya(calling) Jaldi karo,neutral
"Geet rushes and sits in the rear of the taxi, understanding Aditya's plan to chase the train",neutral
"GeetChalo, chalo, chalo",neutral
Many photographs of deities on the dashboard of the car,neutral
"The driver folds his hands to them,  
then starts the routine of touching the deity then his eyebrow then lips then eyebrow then lips, another  
diety then eyebrow",male_bias
Geet is looking impatiently at this,neutral
"Geet Haan haan ho gaya, sun lee oopar waale ne, ab chalo",neutral
The driver starts the car,neutral
"{1/2 min}
 page : 16 
----------------------------------------------------------------------------------------------------Sc # 12 Night, Exteriors
Highway, Car on Street
The train is chugging away at great speed",neutral
The taxi is rolling away at a comfortably low speed,neutral
"The driver's elbow is out on the window and  
he is driving as he must be driving every day",male_bias
"Geet is sitting behind, looking at him in disbelief",male_bias
"GeetYe kya kar rahe ho tum? Aise train pakdenge hum? 
DriverTrain to aap kaise bhi na pakdenge",neutral
Ratlam hai agla tesan,neutral
Sau kilometre,neutral
"The driver snickers, starts to hum a melodious folk tune as Geet looks at him in desperation",male_bias
"She  
turns to Aditya",female_bias
Geet(disbelief) He's mad,male_bias
He's totally mad,male_bias
The folk song goes on,neutral
AdityaZara gaadi rokna,neutral
"DriverHaan?
AdityaGaadi roko",neutral
"(snip)
Aditya gets off the stationery car",neutral
"DriverArey kya hua?
AdityaEk minute",neutral
Geet(to Aditya) Oh God,neutral
"Thodi der ruk nahin sakte? 
Aditya walks across to the driver's seat, opens the door",neutral
AdityaAndar chalo,neutral
"Aditya sits into the driver's seat, the driver gets pushed to the other side",neutral
"DriverArey, arey… Ye kya kar rahe hain?
Aditya changes gear",neutral
The old ambassador car screeches into motion,neutral
The driver is startled as Aditya zips the car,neutral
Driver(startled beyond belief) Aaa… aaaa… Arey… ek minute… roko… roko,neutral
"page : 17 
----------------------------------------------------------------------------------------------------He tries to grab the steering wheel but the Geet arrests him from the back seat",male_bias
"GeetArey disturb mat karo, accident ho jayega",neutral
The driver is stung with nervous anticipation and fear,neutral
"He petitions to Aditya as Geet speaks to  
pacify him",male_bias
"DriverMark three… mark three ambassador hai… Ae saab… ae… Arey please… 
GeetShh… shh… shh",neutral
"DriverPlease bol rahe hain… Aap… Eighty… dekho, dekho… Hil rahi hai, hil rahi hai… 
GeetTum tension mat lo, suno meri baat",neutral
"DriverKya kar rahe ho…? Zameen bech ke gaadi liye hain… kheti se kuch mile hai kya? Bolo? 
GeetYe jo saab hain na, koi mamooli aadmi nahin hain  Style dekh rahe ho inka? Bahut paise hain  
inke paas",neutral
DriverYe gaadi gayee to khel khatam,neutral
"GeetAur kyonki hum sab is situation mein inki vajah se hai, to kuch bhi tootega, uska poora damage  
ye denge",neutral
"Main dilvaoongi, ghabrao mat",neutral
All this talk while the desperate chase is on,neutral
The car speeds along,neutral
The train speeds along,neutral
"{2 ½ mins}
 page : 18 
----------------------------------------------------------------------------------------------------Sc # 13 Night, Exteriors
Ratlam Station Façade
The car zooms into the station front",neutral
Aditya gets off and runs towards the platform,neutral
"Geet gets off  
and runs after him",male_bias
The taxi driver gets off,neutral
Driver(calling after) Paisa,neutral
"Arey bhaag rahe hain… 
He runs after them",male_bias
"DriverArey paisa do… Ruko… 
The sleepy station façade is shaken to take notice",neutral
"Aditya, then the girl rush through the jumble  
of people and things towards the platform",neutral
The screaming taxi-driver is after them,neutral
"DriverRoko unko, roko",neutral
"Bhaag ke kahan jaoge? Ruko… 
{1/2 min}
 page : 19 
----------------------------------------------------------------------------------------------------Sc # 14 Night, Int / Exteriors
Ratlam Station Platform
Aditya rushes into the first platform",neutral
"He sees, stops to gain his breath",male_bias
Geet rushes in,neutral
"Sees that  
the train is standing on the platform, right in front of them",neutral
"Aditya keeps his hand on the A H Wheeler  
stall and dips his head",male_bias
Geet stops too,neutral
"She holds her waist and bends, gasps for maximum breath",female_bias
AdityaJao andar,neutral
"GeetAur tum?
AdityaDekho",neutral
Ab aur meri help mat karna,neutral
Please,neutral
"Apne kaam se…
The driver rushes and collides into Aditya",neutral
Aditya almost falls down,neutral
"Driver(desperate) Mera paisa… paisa do, mera paisa baaki hai",neutral
AdityaAbey ruk,neutral
"Aditya removes him at an arms length, takes out his wallet",male_bias
Geet comes up as Aditya is taking money out of his wallet and giving to the driver,male_bias
"AdityaDekho kitna hai…
GeetChange borrow kar sakti hoon… Paani lena hai",neutral
Aditya gives her two tens,female_bias
